,name,price,valid_until
0,Lenteja Olimpica 500 G,3700,2024-02-23T23:08:36Z
1,Sal Refisal 1 Kg,2200,2024-02-23T23:08:37Z
2,Azúcar Olimpica Refinada 1 Kg,4100,2024-02-23T23:08:37Z
3,Arroz Sabrosón 5 Kg,22590,2024-02-23T23:06:23Z
4,Harina de Maíz Pan Blanco 1 Kg,4990,2024-02-23T23:08:37Z
5,Huevos AA Kikes Rojos X30 Unds,21900,2024-02-23T23:08:36Z
6,Aceite Riquísimo 3000 ML,35300,2024-02-23T23:07:51Z
7,Arroz Sabrosón 3 Kg,12700,2024-02-23T23:05:38Z
8,Huevos A Santa Anita Rojos X30 Unds,16900,2024-02-23T23:07:43Z
9,Frijol Olimpica Riego Zaragoza Rosado 500 G,3900,2024-02-23T23:08:10Z
10,Huevos A Kikes Rojos X30 Unds,15990,2024-02-23T23:06:10Z
11,"Azúcar La Económica 2,5 Kg",10990,2024-02-23T23:09:11Z
12,Lenteja Olimpica 500 G,3700,2024-02-23T23:08:36Z
13,Sal Refisal 1 Kg,2200,2024-02-23T23:08:37Z
14,Azúcar Olimpica Refinada 1 Kg,4100,2024-02-23T23:08:37Z
15,Arroz Sabrosón 5 Kg,22590,2024-02-23T23:06:23Z
16,Harina de Maíz Pan Blanco 1 Kg,4990,2024-02-23T23:08:37Z
17,Huevos AA Kikes Rojos X30 Unds,21900,2024-02-23T23:08:36Z
18,Aceite Riquísimo 3000 ML,35300,2024-02-23T23:07:51Z
19,Arroz Sabrosón 3 Kg,12700,2024-02-23T23:05:38Z
20,Huevos A Santa Anita Rojos X30 Unds,16900,2024-02-23T23:07:43Z
21,Frijol Olimpica Riego Zaragoza Rosado 500 G,3900,2024-02-23T23:08:10Z
22,Huevos A Kikes Rojos X30 Unds,15990,2024-02-23T23:06:10Z
23,"Azúcar La Económica 2,5 Kg",10990,2024-02-23T23:09:11Z
24,Aceite Gourmet Familia Multiusos 900 ML,18990,2024-02-23T23:01:39Z
25,Aceite Riquísimo 1000 ML,12850,2024-02-23T23:01:39Z
26,Harina Haz De Oros Tradicional 500 G,2850,2024-02-23T23:02:24Z
27,Aceite de Girasol Premier 1000 ML,21350,2024-02-23T23:04:48Z
28,Harina de Trigo Olimpica 500 G,1990,2024-02-23T23:02:51Z
29,Arroz Diana 3 Kg,15570,2024-02-23T23:02:42Z
30,Atún Medalla De Oro Lomitos en Agua 170 G,5990,2024-02-23T23:04:48Z
31,Aceite Olimpica Girasol 3 Lt,44990,2024-02-23T23:01:34Z
32,Huevos AAA Santa Anita Rojos Amarrado X30 Unds,19500,2024-02-23T23:01:33Z
33,Azúcar Olimpica Morena 1 Kg,4550,2024-02-23T23:03:18Z
34,Atún Medalla De Oro Lomitos en Aceite Vegetal 170 G,5990,2024-02-23T23:03:18Z
35,Arroz Diana 1 Kg,5190,2024-02-23T23:04:36Z
36,Aceite Gourmet Familia Multiusos 900 ML,18990,2024-02-23T23:01:39Z
37,Aceite Riquísimo 1000 ML,12850,2024-02-23T23:01:39Z
38,Harina Haz De Oros Tradicional 500 G,2850,2024-02-23T23:02:24Z
39,Aceite de Girasol Premier 1000 ML,21350,2024-02-23T23:04:48Z
40,Harina de Trigo Olimpica 500 G,1990,2024-02-23T23:02:51Z
41,Arroz Diana 3 Kg,15570,2024-02-23T23:02:42Z
42,Atún Medalla De Oro Lomitos en Agua 170 G,5990,2024-02-23T23:04:48Z
43,Aceite Olimpica Girasol 3 Lt,44990,2024-02-23T23:01:34Z
44,Huevos AAA Santa Anita Rojos Amarrado X30 Unds,19500,2024-02-23T23:01:33Z
45,Azúcar Olimpica Morena 1 Kg,4550,2024-02-23T23:03:18Z
46,Atún Medalla De Oro Lomitos en Aceite Vegetal 170 G,5990,2024-02-23T23:03:18Z
47,Arroz Diana 1 Kg,5190,2024-02-23T23:04:36Z
48,Galleta Ducales Taco 360 G X3 Unds,7590,2024-02-23T23:14:10Z
49,Pasta Doria Clásica 250 G,2150,2024-02-23T23:14:02Z
50,Vinagre Medalla de Oro Blanco 2 Lt,5500,2024-02-23T23:16:26Z
